"",Z,M,highest,fe,Gene,Specificity,Precision,ExpressionFraction
MAGIX,-3.97302530936812,-0.222239074401589,FALSE,0.0730897009966778,MAGIX,0.884936016566665,0.0751173708920188,0.0730897009966778
HDHD3,-3.97400056668673,-0.259474169663526,FALSE,0.0523255813953488,HDHD3,0.904199544563893,0.0651162790697674,0.0523255813953488
ZNF581,-3.97607410854222,-0.696034691065402,FALSE,0.0323920265780731,ZNF581,0.92287781944958,0.0507152145643693,0.0323920265780731
CMTM7,-3.97777643159416,-0.286583357966849,FALSE,0.0473421926910299,CMTM7,0.908653082826144,0.0619565217391304,0.0473421926910299
PPIC,-3.9783942686928,-0.0326522680064025,FALSE,0.0631229235880399,PPIC,0.893832529034311,0.0705663881151346,0.0631229235880399
COIL,-3.97917778862589,-0.246421782918897,FALSE,0.0656146179401993,COIL,0.891782929287571,0.0718835304822566,0.0656146179401993
TM4SF1,-3.9795644921099,-1.54890933666782,FALSE,0.0137043189368771,TM4SF1,0.939660623946037,0.0280135823429542,0.0137043189368771
RUNX3,-3.98023725375759,-1.69189926335994,FALSE,0.0199335548172757,RUNX3,0.934338906175835,0.037122969837587,0.0199335548172757
SKIC8,-3.98047608035178,0.0552848028291706,FALSE,0.0834717607973422,SKIC8,0.873883453849426,0.078118927322192,0.0834717607973422
PLGRKT,-3.98078239290538,-0.248944899814384,FALSE,0.0419435215946844,PLGRKT,0.913634440448487,0.0582468281430219,0.0419435215946844
MAPKAPK2,-3.98173427282958,-0.272049190124505,FALSE,0.0552325581395349,MAPKAPK2,0.901356219538038,0.0666666666666667,0.0552325581395349
TASOR2,-3.98183471608259,-0.300350476673062,FALSE,0.0523255813953488,TASOR2,0.904252502250702,0.0651499482936918,0.0523255813953488
ENOPH1,-3.98198001012108,-0.439523522833168,FALSE,0.0386212624584718,ENOPH1,0.916895749629943,0.0558558558558559,0.0386212624584718
CLPX,-3.98198150741743,-0.147208490978492,FALSE,0.0602159468438538,CLPX,0.896257421543681,0.0689819219790676,0.0602159468438538
MITD1,-3.9823029284757,-0.190005250665966,FALSE,0.0552325581395349,MITD1,0.901303242212333,0.0666332665330661,0.0552325581395349
KIAA0319L,-3.98361088818536,-0.203877953207399,FALSE,0.050249169435216,KIAA0319L,0.905972045743329,0.0637849235635214,0.050249169435216
MBIP,-3.98539598803091,-0.582270490516388,FALSE,0.0303156146179402,MBIP,0.924482467258133,0.0485695276114438,0.0303156146179402
DIMT1,-3.98582832878928,-0.326155927889698,FALSE,0.0469269102990033,DIMT1,0.908922523285351,0.0616139585605234,0.0469269102990033
GGA1,-3.98614286698829,-0.473916528239126,FALSE,0.042358803986711,GGA1,0.913576982070133,0.0587557603686636,0.042358803986711
PELI1,-3.98657628027918,-0.67656453114619,FALSE,0.0365448504983389,PELI1,0.918978912319645,0.054287476866132,0.0365448504983389
CRIP1,-3.98668638049023,-0.384227905905877,FALSE,0.0930232558139535,CRIP1,0.867394197498004,0.0825046040515654,0.0930232558139535
SNRNP27,-3.99199474235328,0.0454565050807352,FALSE,0.0967607973421927,SNRNP27,0.860779718789945,0.0818405338953284,0.0967607973421927
ITSN2,-3.99227340182396,-0.15760767246778,FALSE,0.0884551495016611,ITSN2,0.870131942966589,0.0802562170308968,0.0884551495016611
GYG1,-3.99351471424554,-0.383133078173024,FALSE,0.0419435215946844,GYG1,0.913422889782103,0.0581127733026467,0.0419435215946844
EPHX2,-3.99372404387542,-0.146107165335365,FALSE,0.0988372093023256,EPHX2,0.860263171914123,0.0831876966095771,0.0988372093023256
RNF216,-3.99505209760972,-0.360941009693442,FALSE,0.0427740863787375,RNF216,0.912514545646885,0.0586226522481503,0.0427740863787375
REPIN1,-3.99515304527094,-0.0308501847181129,FALSE,0.0818106312292359,REPIN1,0.875930257282586,0.077834847886211,0.0818106312292359
SERINC5,-3.99777065397082,-0.573546350983222,FALSE,0.0506644518272425,SERINC5,0.906390639063906,0.0645502645502646,0.0506644518272425
COQ9,-3.99898489314834,0.01298097875463,FALSE,0.0705980066445183,COQ9,0.885875046446202,0.0732758620689655,0.0705980066445183
SLC35B1,-3.99906628980353,-0.225267453413254,FALSE,0.0585548172757475,SLC35B1,0.898081407674369,0.0683139534883721,0.0585548172757475
ACOX1,-3.99913105632943,-0.0176847873103352,FALSE,0.0838870431893688,ACOX1,0.873291859414048,0.0781431334622824,0.0838870431893688
ARL8A,-3.99925027847592,-0.391219045211775,FALSE,0.0481727574750831,ARL8A,0.908061186682898,0.0626011872638964,0.0481727574750831
AZGP1,-3.99926821710719,-0.715312397885443,FALSE,0.189784053156146,AZGP1,0.778298835705045,0.1,0.189784053156146
KLRD1,-3.99945414420182,-1.70664506010279,FALSE,0.0386212624584718,KLRD1,0.918798900401776,0.0570902394106814,0.0386212624584718
KIFBP,-3.99957777796683,-0.150476430255962,FALSE,0.0651993355481728,KIFBP,0.89147040101846,0.0712664548343169,0.0651993355481728
